gdp_rank,city_name_en,city_name_zh,province_en,gdp_2024_cny_million,gdp_2024_usd_million,source
1.0,Shanghai,上海,municipality,5392671.0,757217.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
2.0,Beijing,北京,municipality,4984310.0,699876.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
3.0,Shenzhen,深圳,Guangdong,3680187.0,516757.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
4.0,Chongqing,重庆,municipality,3219315.0,452043.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
5.0,Guangzhou,广州,Guangdong,3103250.0,435746.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
6.0,Hong Kong,香港,SAR,2899775.0,407176.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
7.0,Suzhou,苏州,Jiangsu,2672698.0,375289.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
8.0,Chengdu,成都,Sichuan,2351130.0,330136.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
9.0,Hangzhou,杭州,Zhejiang,2186000.0,306949.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
10.0,Wuhan,武汉,Hubei,2110623.0,296365.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
11.0,Nanjing,南京,Jiangsu,1850081.0,259781.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
12.0,Ningbo,宁波,Zhejiang,1814770.0,254823.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
13.0,Tianjin,天津,municipality,1802432.0,253090.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
14.0,Qingdao,青岛,Shandong,1671946.0,234768.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
15.0,Wuxi,无锡,Jiangsu,1626329.0,228362.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
16.0,Changsha,长沙,Hunan,1526878.0,214398.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
17.0,Zhengzhou,郑州,Henan,1453210.0,204054.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
18.0,Fuzhou,福州,Fujian,1423676.0,199907.0,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
