city_name_en,province_en,population_2020,population_2010,population_change_percent,source
Shanghai,municipality,21909814.0,20217748.0,8.37,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Beijing,municipality,18960744.0,16704306.0,13.51,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shenzhen,Guangdong,17444609.0,10358381.0,68.41,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guangzhou,Guangdong,16096724.0,10641408.0,51.26,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chengdu,Sichuan,13568357.0,7791692.0,74.14,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tianjin,municipality,11052404.0,9528277.0,16.0,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuhan,Hubei,10494879.0,7541527.0,39.16,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dongguan,Guangdong,9644871.0,7271322.0,32.64,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chongqing,municipality,9580819.0,6263790.0,52.96,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xi'an,Shaanxi,9392938.0,5403052.0,73.85,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hangzhou,Zhejiang,9236032.0,5849537.0,57.89,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Foshan,Guangdong,9042509.0,6771895.0,33.53,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanjing,Jiangsu,7519814.0,5827888.0,29.03,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shenyang,Liaoning,7026358.0,5718232.0,22.88,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhengzhou,Henan,6461013.0,3677032.0,75.71,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qingdao,Shandong,6165279.0,4556077.0,35.32,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Suzhou,Jiangsu,5892892.0,3721700.0,58.34,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinan,Shandong,5648162.0,3641562.0,55.1,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changsha,Hunan,5630256.0,3193354.0,76.31,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kunming,Yunnan,5273144.0,3385363.0,55.76,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Harbin,Heilongjiang,5242897.0,4596313.0,14.07,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shijiazhuang,Hebei,5090440.0,3095219.0,64.46,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hefei,Anhui,5055978.0,3098727.0,63.16,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dalian,Liaoning,4913879.0,3902467.0,25.92,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xiamen,Fujian,4617251.0,3119110.0,48.03,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanning,Guangxi,4582703.0,2660833.0,72.23,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changchun,Jilin,4557356.0,3411209.0,33.6,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Taiyuan,Shanxi,4303673.0,3154157.0,36.44,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guiyang,Guizhou,4021275.0,2520061.0,59.57,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuxi,Jiangsu,3956985.0,2757736.0,43.49,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ürümqi,Xinjiang,3842560.0,2853398.0,34.67,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhongshan,Guangdong,3841873.0,2740994.0,40.16,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shantou,Guangdong,3838900.0,3644017.0,5.35,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ningbo,Zhejiang,3731203.0,2583073.0,44.45,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fuzhou,Fujian,3723454.0,3102421.0,20.02,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanchang,Jiangxi,3518975.0,2614380.0,34.6,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changzhou,Jiangsu,3187315.0,2257376.0,41.2,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lanzhou,Gansu,3012577.0,2438595.0,23.54,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nantong,Jiangsu,2987600.0,1612385.0,85.29,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huizhou,Guangdong,2900113.0,1807858.0,60.42,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xuzhou,Jiangsu,2845552.0,2214795.0,28.48,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zibo,Shandong,2750312.0,2261717.0,21.6,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Linyi,Shandong,2743843.0,1522488.0,80.22,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wenzhou,Zhejiang,2582017.0,2686825.0,3.9,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tangshan,Hebei,2549968.0,2128191.0,19.82,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hohhot,Inner Mongolia,2373399.0,1497110.0,58.53,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Haikou,Hainan,2349239.0,1517410.0,54.82,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shaoxing,Zhejiang,2333080.0,1725726.0,35.19,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
