field,missing_count,missing_rate,unique_count
city_name_zh,0,0.0,20
city_name_en,0,0.0,20
province_zh,0,0.0,15
region,0,0.0,6
city_tier,0,0.0,3
notes,0,0.0,1
gdp_rank,0,0.0,20
gdp_2024_cny_million,0,0.0,20
gdp_2024_usd_million,0,0.0,20
population_2020,0,0.0,20
population_2010,0,0.0,20
population_change_percent,0,0.0,20
cost_of_living_index,7,0.35,13
rent_index,7,0.35,13
cost_plus_rent_index,7,0.35,12
groceries_index,7,0.35,13
restaurant_price_index,7,0.35,13
local_purchasing_power_index,7,0.35,13
source,7,0.35,1
gdp_per_capita_2024_cny,0,0.0,20
gdp_index,0,0.0,20
population_index,0,0.0,20
living_cost_index_norm,7,0.35,13
rent_index_norm,7,0.35,13
purchasing_power_index_norm,7,0.35,13
city_living_value_reference_index,0,0.0,20
missing_key_fields,0,0.0,2
