rank rank,cities cities,城市 城市,provinces provinces,GDP in 2024 (ExRate:[6] ¥7.1217 per USD) (CNY),GDP in 2024 (ExRate:[6] ¥7.1217 per USD) (USD),GDP in 2023  (revision data) (ExRate: ¥7.0467 per USD) (CNY),GDP in 2023  (revision data) (ExRate: ¥7.0467 per USD) (USD),source
1,Shanghai[7][8],上海,municipality,5392671,757217,5140447,729483,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
2,Beijing[7][9],北京,municipality,4984310,699876,4735370,671998,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
3,Shenzhen[10][11],深圳,Guangdong,3680187,516757,3490327,495314,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
4,Chongqing[12][7],重庆,municipality,3219315,452043,3061428,434448,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
5,Guangzhou[10][13],广州,Guangdong,3103250,435746,3072356,435999,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
6,Hong Kong[14],香港,SAR,2899775,407176,2685742,381139,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
7,Suzhou[15][16],苏州,Jiangsu,2672698,375289,2551340,362062,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
8,Chengdu[17],成都,Sichuan,2351130,330136,2233660,316980,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
9,Hangzhou[18],杭州,Zhejiang,2186000,306949,2096000,297444,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
10,Wuhan[19],武汉,Hubei,2110623,296365,2020300,286702,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
11,Nanjing[15][20],南京,Jiangsu,1850081,259781,1779640,252549,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
12,Ningbo[21],宁波,Zhejiang,1814770,254823,1714660,243328,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
13,Tianjin[22][7],天津,municipality,1802432,253090,1721179,244253,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
14,Qingdao[23],青岛,Shandong,1671946,234768,1597316,226676,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
15,Wuxi[15][24],无锡,Jiangsu,1626329,228362,1553819,220503,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
16,Changsha[25],长沙,Hunan,1526878,214398,1451755,206019,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
17,Zhengzhou[26],郑州,Henan,1453210,204054,1392680,197636,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
18,Fuzhou[27],福州,Fujian,1423676,199907,1342689,190542,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
19,Jinan[28],济南,Shandong,1352760,189949,1300580,184566,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
20,Hefei[29],合肥,Anhui,1350770,189670,1278730,181465,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
21,Foshan[10][30],佛山,Guangdong,1336190,187622,1332377,189078,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
22,Xi'an[31],西安,Shaanxi,1331778,187003,1275621,181024,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
23,Quanzhou[32],泉州,Fujian,1309487,183873,1225901,173968,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
24,Nantong[15][33],南通,Jiangsu,1242189,174423,1182800,167852,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
25,Dongguan[10][34],东莞,Guangdong,1228215,172461,1186983,168445,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
