City,Province,2020 Census[16],2010 Census[17],% change,source
Shanghai#~,municipality,21909814,20217748,+8.37%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Beijing⍟#,municipality,18960744,16704306,+13.51%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shenzhen†,Guangdong,17444609,10358381,+68.41%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guangzhou#*~,Guangdong,16096724,10641408,+51.26%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chengdu#*,Sichuan,13568357,7791692,+74.14%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tianjin#~,municipality,11052404,9528277,+16.00%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuhan#*,Hubei,10494879,7541527,+39.16%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dongguan,Guangdong,9644871,7271322,+32.64%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chongqing#,municipality,9580819,6263790,+52.96%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xi'an#*,Shaanxi,9392938,5403052,+73.85%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hangzhou*,Zhejiang,9236032,5849537,+57.89%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Foshan,Guangdong,9042509,6771895,+33.53%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanjing*,Jiangsu,7519814,5827888,+29.03%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shenyang*,Liaoning,7026358,5718232,+22.88%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhengzhou#*,Henan,6461013,3677032,+75.71%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qingdao~,Shandong,6165279,4556077,+35.32%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Suzhou,Jiangsu,5892892,3721700,+58.34%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinan*,Shandong,5648162,3641562,+55.10%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changsha*,Hunan,5630256,3193354,+76.31%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kunming*,Yunnan,5273144,3385363,+55.76%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Harbin*,Heilongjiang,5242897,4596313,+14.07%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shijiazhuang*,Hebei,5090440,3095219,+64.46%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hefei*,Anhui,5055978,3098727,+63.16%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dalian~,Liaoning,4913879,3902467,+25.92%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xiamen†,Fujian,4617251,3119110,+48.03%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanning*,Guangxi,4582703,2660833,+72.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changchun*,Jilin,4557356,3411209,+33.60%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Taiyuan*,Shanxi,4303673,3154157,+36.44%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guiyang*,Guizhou,4021275,2520061,+59.57%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuxi,Jiangsu,3956985,2757736,+43.49%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ürümqi*,Xinjiang,3842560,2853398,+34.67%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhongshan,Guangdong,3841873,2740994,+40.16%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shantou†,Guangdong,3838900,3644017,+5.35%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ningbo~,Zhejiang,3731203,2583073,+44.45%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fuzhou*~,Fujian,3723454,3102421,+20.02%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanchang*,Jiangxi,3518975,2614380,+34.60%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changzhou,Jiangsu,3187315,2257376,+41.20%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lanzhou*,Gansu,3012577,2438595,+23.54%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nantong~,Jiangsu,2987600,1612385,+85.29%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huizhou,Guangdong,2900113,1807858,+60.42%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xuzhou,Jiangsu,2845552,2214795,+28.48%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zibo,Shandong,2750312,2261717,+21.60%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Linyi,Shandong,2743843,1522488,+80.22%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wenzhou~,Zhejiang,2582017,2686825,−3.90%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tangshan,Hebei,2549968,2128191,+19.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hohhot*,Inner Mongolia,2373399,1497110,+58.53%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Haikou*,Hainan,2349239,1517410,+54.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shaoxing,Zhejiang,2333080,1725726,+35.19%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yantai~,Shandong,2311885,1797861,+28.59%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Luoyang,Henan,2230661,1584463,+40.78%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhuhai,Guangdong,2207090,1369538,+61.16%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Liuzhou,Guangxi,2204841,1410712,+56.29%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Baotou,Inner Mongolia,2104114,1874323,+12.26%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Handan,Hebei,2095134,1540827,+35.97%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yangzhou,Jiangsu,2067254,1584237,+30.49%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Weifang,Shandong,1998405,1161582,+72.04%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Baoding,Hebei,1940384,1397350,+38.86%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Datong,Shanxi,1809505,1420467,+27.39%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huai'an,Jiangsu,1804611,1523655,+18.44%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiangmen,Guangdong,1795459,1480023,+21.31%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ganzhou,Jiangxi,1778132,1035911,+71.65%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jining,Shandong,1700054,1327483,+28.07%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xiangyang,Hubei,1686403,1433057,+17.68%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xining*,Qinghai,1677177,1227209,+36.67%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zunyi,Guizhou,1675245,995311,+68.31%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yinchuan*,Ningxia,1662968,1159457,+43.43%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kunshan,Jiangsu,1652159,1118617,+47.70%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Daqing,Heilongjiang,1604027,1433698,+11.88%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuhu,Anhui,1598165,1108087,+44.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Mianyang,Sichuan,1549499,1063272,+45.73%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Putian,Fujian,1539389,1107199,+39.03%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qinhuangdao,Hebei,1520199,1088587,+39.65%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhuzhou,Hunan,1510148,1093730,+38.07%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jilin,Jilin,1509292,1469722,+2.69%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Taizhou,Zhejiang,1485502,1189276,+24.91%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yiwu,Zhejiang,1481384,878903,+68.55%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xingtai,Hebei,1480754,1060749,+39.60%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Anshan,Liaoning,1480332,1504996,−1.64%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Quanzhou,Fujian,1469157,1154731,+27.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Cixi,Zhejiang,1457510,1059942,+37.51%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Tai'an,Shandong,1416591,1123541,+26.08%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinjiang,Fujian,1416151,1172827,+20.75%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanyang,Henan,1407616,899899,+56.42%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhanjiang,Guangdong,1400709,1038762,+34.84%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Guilin,Guangxi,1361244,963629,+41.26%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yancheng,Jiangsu,1353475,1136826,+19.06%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zaozhuang,Shandong,1349883,980893,+37.62%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Taizhou,Jiangsu,1348327,1053601,+27.97%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shangrao,Jiangxi,1342220,885740,+51.54%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Weihai,Shandong,1339645,1009491,+32.70%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhangjiakou,Hebei,1339384,1180667,+13.44%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiangyin,Jiangsu,1331352,1013670,+31.34%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Maoming,Guangdong,1307802,1033196,+26.58%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Heze,Shandong,1293767,725673,+78.29%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yichang,Hubei,1284305,1049363,+22.39%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xinxiang,Henan,1271350,918078,+38.48%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huainan,Anhui,1255619,1238488,+1.38%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanchong,Sichuan,1254455,890402,+40.89%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chaozhou,Guangdong,1254007,1256268,−0.18%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jieyang,Guangdong,1242906,1226848,+1.31%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changshu,Jiangsu,1230599,929124,+32.45%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fushun,Liaoning,1228890,1318808,−6.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qingyuan,Guangdong,1197581,916453,+30.68%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kaifeng,Henan,1193802,894142,+33.51%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xianyang,Shaanxi,1192776,730704,+63.24%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fuyang,Anhui,1191810,780522,+52.69%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiaxing,Zhejiang,1188321,762643,+55.82%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Anyang,Henan,1187772,908129,+30.79%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hengyang,Hunan,1185130,1055964,+12.23%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Rizhao,Shandong,1147175,902272,+27.14%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
